Acronym,Meaning
Ma ,  Megaannum
MA, Madagascar (FIPS 10
MAA ,  Mathematical Association of America
MAAC ,  Metro Atlantic Athletic Conference
MAC," Macau (ISO 3166 trigram), U.S. Military Airlift Command (1966"
MACA ,  Military Aid to the Civil Authorities
MACE ,  Multi
MACHO ,  MAssive Compact Halo Object
MAD," Magnetic Anomaly Detector, Moroccan dirham (ISO 4217 currency code), Mutual Assured Destruction"
MADD," Mothers Against Drunk Driving,MyoAdenylate Deaminase Deficiency, Multiply"
MAF ,  Maintenance Action Form
MAFF ,"  Ministry of Agriculture, Forestry and Fisheries (various countries)"
MAGIC ,  Major Atmospheric Gamma
MAGNETAR ,  Metaprogrammable AGent NETwork ARchitecture
MAGTF ,  Marine Air
mah ,  Marshallese language (ISO 639
Mahasz ,"  Magyar Hanglemezkiadók Szövetsége (Hungarian, ""Association of Hungarian Record Companies"")"
mal ,  Malayalam language (ISO 639
MALD ,  Miniature Air
MANPADS ,  MAN
MANPRINT ,  MANpower and PeRsonnel INTegration
MAO,"(i/a) Mol?t? astronomijos observatorija (Moletai Astronomical Observatory), MonoAmine Oxidase"
MAOI ,  Monoamine oxidase inhibitor
MAPS ,  Monitoring Avian Productivity and Survivorship
MAQS ,"  Museum of the American Quilter's Society (""max"")"
mar ,  Marathi language (ISO 639
MAR ,  Morocco (ISO 3166 trigram)
MarBEF ,  Marine Biodiversity and Ecosystem Functioning
MARC," MAchine able Cataloging (often also defined as MAchine able Code),Mailing list ARChive,Massachusetts Animal Rights Coalition,Mid"
MARCENT ,  United States Marine Forces Central Command
MARFORCC ,  Marine Force Component Commander
MARRS ,"  Martyn Young, Alex Ayuli, Rudy Tambala, Russell Smith, and Steve Young (British electronic music act)"
MAS ,  NATO Military Agency for Standardization
MASAS ,  Monte Agliale Supernovae and Asteroid Survey
Maser ,  Microwave Amplification by Stimulated Emission of Radiation
MASH ,  Mobile Army Surgical Hospital
MASINT ,  Measurement And Signature Intelligence
MATREX ,"  Modeling Architecture for Technology, Research & EXperimentation"
MATS ,  U.S. Military Air Transport Service (1948
MAVS , (a/i) Mobile Artillery Vehicle System
MAW ,"  Malawi (IOC trigram, but not FIFA or ISO 3166)"
MAX ,  Meta
MB ,  Manitoba (postal symbol) 
MBA ,  Main Battle Area 
MBI ,  Moody Bible Institute
MBBL ,  (U.S. Armor Center) Mounted Battlespace Battle Laboratory
MBCC ,  Migratory Bird Conservation Commission (U.S.)
MBCS ,  Multi
MBE ,  Member of the Order of the British Empire 
MBIDST ,  Member of the British Institute of Dental and Surgical Technologists
MBM ,  Meat and Bone Meal
mbsf ," metres below sea floor,[1][2] a depth convention used in paleontology and oceanography"
MBT ,  Main Battle Tank
MBTA ,  Massachusetts Bay Transportation Authority 
MBTI ,  Myers
mC ,  Millicoulomb
MC, Macau (FIPS 10
MCA," Master of Computer Applications,Micro Channel Architecture,MultiChannel Analyzer,Music Corporation of America, the original name of the now"
MCC," Marylebone Cricket Club,Mission Control Center,Motor Control Center,Movement Control Centre"
MCD," Minimal Cerebral Dysfunction,Minor civil division (U.S. Census term)"
MCDL ,  Model Composition Definition Language
MCFT ,  Modified Compression Field Theory
MCG ,  Melbourne Cricket Ground
MCI ,"  Microwave Communications, Inc."
MCIS ,  Mellon Collie and the Infinite Sadness
MCM ,  Mine Counter
MCMV ,  Mine Counter
MCNC," Microelectronics Center of North Carolina, Mixing Condensation Nucleus Counter"
MCO," Major Combat Operation, Monaco (ISO 3166 trigram), Movement Control Officer"
MCP," Maintenance Collection Point,Male Chauvinist Pig"
MCR ,  My Chemical Romance
MCSF ,  Marine Corps Security Forces
MCT ,  Movement Control Team
MCTIS ,  Mounted Co
MCU," Marine Corps University,Marvel Cinematic Universe,Medium close"
Md ,  Mendelevium
MD," Fifteen Hundred (in Roman numerals),Maryland (postal symbol), Medicinae Doctor (Doctor of Medicine/Medical Doctor),Mentioned in Dispatches (military), Moldova (FIPS 10"
MDA," Main Defensive Action/Area, Moldova (ISO 3166 trigram) "
MDF," Main distribution frame,Medium"
MDG," Madagascar (ISO 3166 trigram), UN Millennium Development Goal"
MDL ,  Moldovan leu (ISO 4217 currency code)
MDM," Michigan Dartmouth MIT telescope consortium,Master data management"
MDMA ,  MethyleneDioxy
MDNA ,  Madonna's 12th studio album title (2012)
MDO ,  Membership Driven Organisation
MDP ,  Markov Decision Process
MDT ,  Mountain Daylight Time (UTC
MDV ,  Maldives (ISO 3166 trigram)
MDW," Chicago Midway International Airport in Chicago (IATA airport code), Military District of Washington, Minnesota, Dakota and Western Railway (AAR reporting mark),ME[edit]"
Me ,  Messerschmitt
ME ,  Maine (postal symbol) 
MEA ,  Maine Educational Assessment 
MEAC ,  Mid
MEC," Maine Central Railroad,Manta, Ecuador (IATA location identifier), Model European Council,Mountain East Conference,Mountain Equipment Co"
MECC ,"  Minnesota Educational Computing Consortium (later Corporation, dissolved 1999)"
MECCA ,"  Milwaukee Exposition Convention Center and Arena, a former name for the sports venue now known as UW"
MECO ,  Main engine cutoff (NASA code for point in Space Shuttle assent when three main engines are shut down prior to External Tank (ET) separation)
MEDEVAC ,  Medical evacuation
MEDLI ,"  Mars Science Laboratory Entry, Descent, and Landing Instrumentation "
MEDS ,  Mission Essential Data Set
MEF ,  U.S. Marine Expeditionary Force 
MEG ,  MagnetoEncephaloGraphy
MEI ,"  Matsushita Electric Industrial Co., Ltd."
MEK ,  Magyar Elektronikus Konyvtar 
MEL ,  Maya Embedded Language 
MELT ,  Metallic Line/Loop Test (ing)
MEM ,  Message Exchange Mechanism 
MEMS ,  Microelectromechanical System
MEO ,  Medium earth orbit 
MEP ,  Mechanical Electrical Plumbing 
MER ,  Mars Exploration Rover
MERL ,  Mitsubishi Electric Research Laboratories
MES ,  Marconi Electronic Systems 
MESSENGER ,"  MErcury Surface, Space ENvironment, GEochemistry and Ranging"
MET ,  Meteorological 
METAR ,  [Meteorological] Aviation Routine weather report
METL ," (i/a) Mission Essential Task List (""mettle"")"
METOC ,  Meteorological and Oceanographic
MEU ,  U.S. Marine Expeditionary Unit 
MeV ,  Megaelectronvolt
MEV ,  Medical Evacuation Vehicle 
MEX ,  Mexico (ISO 3166 trigram)
MEZ ,  Missile Engagement Zone
MES ,  Manufacturing Execution Systems
mF ,  Millifarad
MF ,  Mayotte (FIPS 10
MFSB ,"  Mother, Father, Sister, Brother (1970s Philadelphia studio musicians collective)"
mg ,  Malagasy language (ISO 639
Mg ,  Magnesium 
MG ,  Machine Gun 
MGA ,  Malagasy ariary (ISO 4217 currency code)
MGB ,"  Medium Girder Bridge, Motor Gun Boat"
MGM ,  Metro Goldwyn Mayer 
MGPAM , My Gym Partner's a Monkey
MGS ,  Mobile Gun System
mh ,  Marshallese language (ISO 639
mH ,  Millihenry
MH ,  Marshall Islands (postal symbol; ISO 3166 digram) 
MHC ,  Major Histocompatibility Complex
MHHW ,  Mean Higher High Water (nautical charts)
MHL ,  Marshall Islands (ISO 3166 trigram)
MHLW ,  Mean Higher Low Water (nautical charts)
MHRA ,  (UK) Medicines and Healthcare products Regulatory Agency
MHW ,  Mean High Water (nautical charts)
MHWN ,  Mean High Water Neaps (nautical charts)
MHWS ,  Mean High Water Springs (nautical charts)
MHz ,  Megahertz
mi ,  M?ori language (ISO 639
Mi ,  Mebi
MI, Malawi (FIPS 10
MIA ,  Missing In Action
MIAA," Maryland Interscholastic Athletic Association,Massachusetts Interscholastic Athletic Association,Michigan Intercollegiate Athletic Association,Mid"
MIB," Men In Black,Mint In Box (Internet auction/trading listings)"
MIC ,  Military Industrial Complex
MICLIC ,  Mine Clearing Line Charge
MICOM ,  Missile Command
MICV ,  Mechanised Infantry Combat Vehicle
MID ,  Midway Islands (ISO 3166 trigram; obsolete 1986)
MIDI ,  Musical Instrument Digital Interface
MIDAS ,  Man
MIDS ,  Multi
MIFC ,  Military Industrial Financial Complex
MIFG ,  Shallow Fog (METAR Code)
MIFPC ,  Military Industrial Financial Pharmaceutical Complex
MIKE ,  Monitoring of Illegal Killing of Elephants
MIL ,  Man
MILAN ,"  Missile d´infanterie léger antichar (French, ""Anti"
MILC ,  Mirrorless interchangeable
MILES ,  Multiple Integrated Laser Engagement System (live combat simulation)
MILF," Moro Islamic Liberation Front, Mother I'd Like to Fuck"
MILSATCOM ,  Military Satellite Communications
MILSET ,"  Mouvement International pour le Loisir Scientifique Et Technique (French, ""International Movement for Leisure Activities in Science and Technology"")"
MILSTRIP ,  Military Standard Requisitioning and Issue Procedure DLMSO MILSTRIP Manual
MIMAROPA ,"  Mindoro, Marinduque, Romblon, Palawan (a region in the Philippines)"
MIMOSA ,  MIcroMeasurements Of Satellite Acceleration
MIMPT ,  Member of the Institute of Maxillofacial Prosthetists and Technologists
MIP," Multilateral Interoperability Programme,Multiple Identity Poster"
MIPC ,  Military Industrial Pharmaceutical Complex
MIRA ,  MILAN Infra
MIRV ,  Multiple Independent Reentry Vehicle
MIS," Management Information Systems,Museum Information System"
MISREP ,  Mission Report
MISSI ,  Multilevel Information System Security Initiative
MIT," Massachusetts Institute of Technology,methylisothiazoline,Milli Istihbarad Teskilati (Intelligence service of Turkey)"
MITL ,  Man
MITS , see entry
mJ ,  Millijoule
MJ," Megajoule, Michael Jordan"
MJD ,  Modified Julian Day
MJP ,  Military Judgement Panel
mk ,  Macedonian language (ISO 639
mK ,  Millikelvin
MK," Air Mauritius (IATA code),Macedonia (ISO 3166 digram; FIPS 10"
mkd ,  Macedonian language (ISO 639
MKD," Macedonian denar (ISO 4217 currency code),Republic of Macedonia (ISO 3166 trigram)"
MKG ,  Michael Kidd
MKO ,  Mojahedin
MKS, Metre
MKSA ,  Metre
MKT, Missouri
ml ,  Malayalam language (ISO 639
mL ,  Millilitre
ML, Mali (FIPS 10
MLA," Martial Law Administration of Bangladesh,Master of Landscape Architecture,Medical Library Association,Member of Legislative Assembly,Modern Language Association,Mutual legal assistance treaty,Myelosis Leucemica Acuta"
MLB ,  Major League Baseball
MLC ,  Member of the Legislative Council (in India)
MLE ,  Maximum likelihood estimation
mlg ,  Malagasy language (ISO 639
MLHW ,  Mean Lower High Water (nautical charts)
MLI ,  Mali (ISO 3166 trigram)
MLK ,"  Martin Luther King, Jr."
MLL ,  Major League Lacrosse
MLLW ,  Mean Lower Low Water (nautical charts)
MLP , My Little Pony
MLRS ,  Multiple
MLS," Major League Soccer,Multiple Listing Service"
MLSE, Maple Leaf Sports & Entertainment (owner of several Toronto
MLSR ,"  Missing, Lost or Stolen Report"
mlt ,  Maltese language (ISO 639
MLT ,  Malta (ISO 3166 trigram)
MLVW ,"  Medium Logistics Vehicle, Wheeled"
MLW ,  Mean Low Water (nautical charts)
MLWN ,  Mean Low Water Neaps (nautical charts)
MLWS ,  Mean Low Water Springs (nautical charts)
mm ,  Millimetre
Mm ,  Megametre
MM ,  Military Medal 
MMA ,  Mixed martial arts 
MMC ,"  Machinist's Mate, Chief (USN rating) "
MMCM ,"  Machinist's Mate, Master Chief (USN rating) "
MMCS ,"  Machinist's Mate, Senior Chief (USN rating)"
MMEV ,  Multi
MMI ,  Man
MMI ,  McLean Meditation Institute
MMIC ,"  Mindfulness & Meditation Instructor, Certified"
MMIC ,  McLean Meditation Institute Certified
MMI ,  Magical MonkeyZ Inc.
MMK ,  Burmese kyat (ISO 4217 currency code)
MMO ,  Massively Multiplayer Online (computer game)
MMOR ,  Master of Management in Operations Research
MMORPG ,  Massively multiplayer online role
MMPR , Mighty Morphin Power Rangers
MMR ,"  Measles, Mumps and Rubella vaccine "
MMS ,  Multimission Modular Spacecraft
MMU ,  Manchester Metropolitan University 
MMW ,"  Millimetre Wave (radar, from ""mm Wave"")"
mn ,  Mongolian language (ISO 639
mN ,  Millinewton
Mn ,  Manganese
MN ,  Meganewton 
MNB ,  Multinational Brigade
MND ,  Motor Neurone Disease 
MNE ,  Montenegro (ISO 3166 trigram)
MNG ,  Multiple
MNMF ,  Multi
MNP ,  Northern Mariana Islands (ISO 3166 trigram)
MNS ,  Mission Needs Statement
MNT ,  Molecular nanotechnology 
mo ,  Moldovan language (ISO 639
Mo ,  Molybdenum
MO ,  Macau (ISO 3166 digram) 
MOA , Museum of Art (Brigham Young University)
MOAB ,  Massive Ordnance Air Blast (official) 
MOB ,  Man Over Board 
MOC ,  Macedonian Orthodox Church 
MOCAS ,  Mechanization Of Contract Administration Services
MoD ,  Ministry of Defence (United Kingdom) and various other countries
MOD ,  Magneto
MoDAF ,"  Ministry of Defence Architecture Framework (""moh"
modem ,  Modulator
ModSAF ,  Modular Semi
Moe ,  Marvel of entertainment
MOE ,  Measure Of Effectiveness
MOF , (a/i) Ministry of Finance (Japan)
MOFA , (a/i) Ministry of Foreign Affairs (Japan)
MOH , (a/i) Medal of Honor 
MOID ,  Minimum Orbital Intersection Distance
MOJWA ,  Movement for Oneness and Jihad in West Africa
mol ,  Moldovan language (ISO 639
MOLO ,  Mobile Other Licensed Operator (UK)
MoM ,  Multiple of the median
MOM ,  Message Oriented Middleware
MOM ,  Master's Degree in Oriental medicine
MoMA ,  Museum of Modern Art (NYC)
mon ,  Mongolian language (ISO 639
MOND ,  Modified Newtonian Dynamics
MOO ,  Measure Of Outcome
MOOTW ,"  Military Operations Other Than War (""moot"
MOP ,  Macau pataca (ISO 4217 currency code) 
MOPE ,  Ministry of Population and Environment (Nepal) 
MOPP , (i/a) Mission
MORP ,  Meteorite Observation and Recovery Project
MORS ,  Military Operations Research Society
MOS ,  Military Occupational Specialty 
MOSFET ,  Metal
MOSS ,  MObile Submarine Simulator 
MOT ,  Ministry of Transport (UK)
MOTA ,  Member of the Orthodontic Technicians Association
MOTESS ,  Moving Object and Transient Event Search System
MOTO ,  Mail Order / Telephone Order 
MOU ,  Memorandum Of Understanding
MOUT ,  Military Operations in Urban[ized] Terrain
MOVES ,"  Modeling, Virtual Environments, and Simulation Institute"
MOW ,  Maintenance of way (also MW)
MOZ ,  Mozambique (ISO 3166 trigram)
MP ,  Magic points 
mPa ,  Millipascal
MPa ,  Megapascal
MPA ,  Maritime Patrol Aircraft 
MPAA ,  Motion Picture Association of America
MPC ,  Minor Planet Center 
MPC ,  Military Payment Certificate
MPEC ,  Minor Planet Electronic Circular
MPEG ,  Motion Pictures (Coding) Experts Group
MPEV ,  Multi
MPF ,  Maritime Prepositioning Force
MPFC ,  Medial PreFrontal Cortex
MPG ,  Miles Per Gallon
MPMC ,  Medial PreMotor Cortex
MPSI ,  Member of the Pharmaceutical Society of Ireland
MPSoC ,  MultiProcessor System
MPSRON ,  Maritime Propositioning Ship Squadron
MQ ,  Martinique (ISO 3166 digram) 
mr ,  Marathi language (ISO 639
MR ,  Mauritania (FIPS 10
MRAV ,  Multi
MRBM ,  Medium Range Ballistic Missile
MRC ,  Maintenance Requirements Card
MRD ,  Motorized Rifle Division
MRE ,  Meal y to Eat (U.S. military rations)
MRGO ,  Mississippi River
MRGW ,  Medium
mri ,  M?ori language (ISO 639
MRI ,  Magnetic Resonance Imaging
MRL ,  Multiple Rocket Launcher
MRO," Maintenance, Repair and Operating,Mars Reconnaissance Orbiter, Mauritanian ouguiya (ISO 4217 currency code)"
MRPharmS ,  Member of the Royal Pharmaceutical Society (Great Britain)
MRR," Maximum Rock and Roll,Minimum"
MRS ,  Magnetic Resonance Spectroscopy
MRSA ,  Methicillin
MRT," Mass Rapid Transit — used as either an official or unofficial name for metro systems in Singapore, Kaoshiung, Bangkok, Taipei, Chennai, and Delhi, Mauritania (ISO 3166 trigram)"
MRTFB ,  U.S. Major Range and Test Facility Base
ms, Malay language (ISO 639
mS ,  Millisiemens
Ms ,  Megasecond
MS," mano sinistra (Latin, ""left hand""), manuscript, Master of Science, Megasiemens, Microsoft (sometimes M$), Mississippi (postal symbol),Montserrat (ISO 3166 digram), Multiple Sclerosis,M&S, Modelling & Simulation,Marks & Spencer"
msa ,  Malay language (ISO 639
MSB," Main Support Battalion,Most Significant Bit (or Byte)"
MSD ,  Minimum Safe Distance
MSDB ,  Multi Source Data Base
MSDE," Maryland State Department of Education, Microsoft Data[base] Engine,Microsoft SQL Server 2000 Desktop Engine, Military Scenario Development Environment,Mission Simulation Dynamic Engine"
MSDL ,  Military Scenario Definition Language
MSE ,  Multiple Subscriber Element
MSEC ,"  Message Security Encryption Code (""emm"
MSG," MonoSodium Glutamate,Madison Square Garden (either the 1879, 1890, 1925, or current versions of the venue)"
MSH," Medium Support Helicopter,Mount Saint Helens"
MSI, Micro
MSIE," Microsoft Internet Explorer,Master of Science in Industrial Engineering"
MSL," Mars Science Laboratory,Mean Sea Level, Missile"
MSLP ,  Mean Sea Level Pressure
MSM," Mainstream media, Men who have sex with men,Mount St Mary's School"
MSN," Microsoft Network,Master of Science in Nursing"
MSNBC ,  Microsoft National Broadcasting Company Cable news channel (see also msnbc.com)
MSO ,  Multiple System Operator
MSPA," Migrant and Seasonal worker Protection Act, MS Paint Adventures"
MSPB ,  Merit Systems Protection Board
MSR," Main Supply Route,Module Service Record, Montserrat (ISO 3166 trigram), Motor Schlepp Regulung,Mountain Safety Research (outdoor supplies manufacturer)"
MSSA ,  Methicillin
MST," Madison Symmetric Torus,Mountain Standard Time (UTC"
MSU," Michigan State University,Montana State University,Mountain State University,Lomonosov Moscow State University (Russia, a.k.a. MGU),MT[edit]"
mt ,  Maltese language (ISO 639
mT ,  Millitesla
Mt ,  Meitnerium
MT, Malta (FIPS 10
MTA," Metropolitan Transportation Authority (Boston) (now Massachusetts Bay Transportation Authority),Metropolitan Transportation Authority (New York)"
MTBF ,  Mean time between failures
MtF ,  Male
MTF," Magnetized target fusion,Medical Treatment Facility,Message Text Format,Modulation transfer function (optics)"
MTG ,  Magic: The Gathering
MTL," Maltese lira (ISO 4217 currency code), Mean Tide Level (nautical charts)* MTM "
MTOE ,"  Modified Table of Organization and Equipment (""emm"
MTP," Maritime Tactical Publication,Materiel Transfer Plan,Mission Training Plan"
MTQ ,  Martinique (ISO 3166 trigram)
MTR," Main and Tail Rotor (helicopter type),Mass Transit Railway (Hong Kong metro system),Military"
MTS," Maintenance Training System,Manitoba Telecom Services,Michigan Terminal/Timesharing System,Movement Tracking System,Multichannel television sound,Multi"
MTT ,  Methylthiazol tetrazolium (assay)
MTU ,"  Tankovei Mostoukladchik (Russian ???????? ?????????????, ""Tank Bridge"
MTV," MainosTeleVisio (Finnish commercial TV company),Music TeleVision"
MTVL ,"  Mobile Tracked Vehicle, Light"
